f
f
f
f
1	57
2	172
3	365
4	126
5	-260
6	-174
7	-110
8	-344
9	-386
10	-341
11	-305
12	-373
13	-355
14	-182
15	-378
16	-369
17	-97
18	315
19	-215
20	-160
21	144
22	24
23	223
24	258
25	-269
26	-376
27	199
28	270
29	256
30	200
31	-204
32	352
33	81
34	321
35	65
36	151
37	-278
38	-211
39	230
40	264
41	200
42	-374
43	225
44	-397
45	-370
46	-257
47	-377
48	-10
49	-76
50	17
51	175
52	-231
53	-362
54	-366
55	-202
56	-218
57	-24
58	-200
59	373
60	-175
61	-84
62	-52
63	126
64	384
65	-312
66	26
67	-184
68	-8
69	125
70	337
71	78
72	82
73	-263
74	234
75	-201
76	-320
77	172
78	-269
79	380
80	-152
81	160
82	335
83	-153
84	-116
85	252
86	46
87	378
88	-26
89	372
90	-174
91	-149
92	196
93	310
94	21
95	-345
96	270
97	-116
98	-177
99	-338
100	8
101	223
102	383
103	-214
104	302
105	-73
106	339
107	-93
108	-336
109	62
110	39
111	-261
112	-372
113	358
114	-400
115	-299
116	106
117	-118
118	90
119	-220
120	255
121	-216
122	372
123	340
124	68
125	-327
126	90
127	275
128	-239
129	383
130	311
131	166
132	-289
133	228
134	341
135	131
136	-159
137	330
138	-163
139	-28
140	-151
141	-332
142	-267
143	-399
144	149
145	-120
146	261
147	-157
148	-229
149	-348
150	-303
151	363
152	-374
153	129
154	188
155	321
156	104
157	398
158	0
159	244
160	-50
161	335
162	278
163	-12
164	-56
165	319
166	-320
167	264
168	174
169	123
170	376
171	315
172	-264
173	-392
174	-293
175	-383
176	275
177	-252
178	-217
179	-174
180	-59
181	251
182	33
183	235
184	-122
185	-158
186	90
187	-76
188	-186
189	-279
190	-192
191	368
192	-234
193	-30
194	277
195	-242
196	269
197	100
198	185
199	-145
200	155
201	-137
202	-48
203	192
204	-90
205	179
206	281
207	-348
208	158
209	309
210	-353
211	219
212	-332
213	-165
214	-314
215	125
216	-65
217	49
218	-186
219	-364
220	199
221	-36
222	-165
223	-265
224	-234
225	288
226	-235
227	-261
228	302
229	136
230	-124
231	-332
232	-132
233	100
234	-81
235	-258
236	-35
237	-307
238	323
239	65
240	253
241	142
242	-156
243	327
244	96
245	-114
246	-263
247	-264
248	-94
249	318
250	86
251	378
252	184
253	-306
254	130
255	-345
256	166
257	365
258	-275
259	-180
260	-156
261	316
262	-224
263	370
264	-392
265	-149
266	-141
267	-190
268	-27
269	176
270	38
271	83
272	-235
273	-254
274	304
275	-396
276	-237
277	152
278	53
279	65
280	276
281	-202
282	-346
283	52
284	-90
285	97
286	-135
287	125
288	-194
289	121
290	141
291	-140
292	-400
293	-127
294	272
295	-155
296	172
297	234
298	-306
299	73
300	194
301	112
302	187
303	366
304	370
305	236
306	74
307	-238
308	11
309	-247
310	271
311	156
312	382
313	20
314	379
315	29
316	-191
317	26
318	151
319	397
320	262
321	40
322	15
323	360
324	126
325	165
326	208
327	156
328	147
329	236
330	-361
331	25
332	189
333	-212
334	154
335	-230
336	373
337	331
338	-55
339	300
340	-111
341	230
342	-294
343	205
344	-136
345	396
346	177
347	112
348	-29
349	11
350	233
351	29
352	-32
353	195
354	-312
355	-337
356	-40
357	-382
358	-163
359	52
360	244
361	292
362	-113
363	-60
364	-106
365	-360
366	-391
367	-333
368	-65
369	358
370	-144
371	42
372	-163
373	-13
374	-377
375	326
376	342
377	21
378	188
379	192
380	356
381	-370
382	-157
383	58
384	-286
385	-29
386	-296
387	-223
388	391
389	-363
390	271
391	-359
392	175
393	364
394	304
395	-86
396	91
397	1
398	-374
399	395
400	-111
401	-159
402	367
403	257
404	-335
405	224
406	-9
407	166
408	40
409	-313
410	91
411	24
412	255
413	-378
414	-11
415	347
416	386
417	-33
418	281
419	-214
420	215
421	-165
422	-72
423	-353
424	42
425	-75
426	-164
427	211
428	28
429	-299
430	-67
431	71
432	60
433	184
434	321
435	302
436	198
437	262
438	-148
439	102
440	272
441	-366
442	-243
443	17
444	32
445	-273
446	-260
447	350
448	-271
449	-100
450	-236
451	285
452	344
453	-56
454	-72
455	66
456	267
457	258
458	153
459	-358
460	117
461	-16
462	-27
463	157
464	-63
465	111
466	227
467	388
